OrderID,DateKey,ProductID,ChannelID,CampaignID,Quantity,UnitPrice,DiscountPct,Revenue,COGS,GrossProfit
ORD-10031,20230103,P010,CH03,,1,55.0,5.0,52.25,20.53,31.72
ORD-10032,20230103,P004,CH05,,1,35.0,5.0,33.25,11.88,21.37
ORD-10033,20230103,P015,CH03,,1,75.0,0,75.0,26.54,48.46
ORD-10034,20230104,P010,CH04,,2,55.0,0,110.0,42.99,67.01
ORD-10035,20230104,P001,CH01,,3,29.0,15.0,73.95,24.19,49.76
ORD-10036,20230104,P004,CH02,,1,35.0,5.0,33.25,13.05,20.2
ORD-10037,20230104,P015,CH04,,1,75.0,10.0,67.5,27.05,40.45
ORD-10038,20230104,P004,CH01,,2,35.0,0,70.0,25.28,44.72
ORD-10039,20230104,P014,CH05,,2,18.0,20.0,28.8,9.5,19.3
ORD-10040,20230104,P007,CH05,,2,38.0,0,76.0,25.78,50.22
ORD-10041,20230104,P009,CH03,,1,120.0,0,120.0,41.4,78.6
ORD-10042,20230104,P015,CH01,,2,75.0,15.0,127.5,42.05,85.45
ORD-10043,20230104,P011,CH08,,3,29.0,20.0,69.6,28.72,40.88
ORD-10044,20230104,P014,CH01,,1,18.0,0,18.0,7.32,10.68
ORD-10045,20230104,P015,CH01,,1,75.0,20.0,60.0,20.79,39.21
ORD-10046,20230104,P013,CH05,,1,25.0,5.0,23.75,9.33,14.42
ORD-10047,20230104,P013,CH04,,2,25.0,0,50.0,17.48,32.52
ORD-10048,20230104,P001,CH04,,1,29.0,10.0,26.1,8.5,17.6
ORD-10049,20230105,P014,CH04,,1,18.0,5.0,17.1,6.93,10.17
ORD-10050,20230105,P002,CH04,,2,34.0,0,68.0,22.58,45.42
ORD-10051,20230105,P015,CH04,,2,75.0,0,150.0,49.23,100.77
ORD-10052,20230105,P011,CH04,,1,29.0,15.0,24.65,8.39,16.26
ORD-10053,20230105,P012,CH02,,1,31.0,0,31.0,11.92,19.08
ORD-10054,20230105,P008,CH02,,2,28.0,0,56.0,20.49,35.51
ORD-10055,20230105,P010,CH08,,1,55.0,0,55.0,19.06,35.94
ORD-10056,20230105,P015,CH02,,1,75.0,0,75.0,26.14,48.86
ORD-10057,20230105,P008,CH06,,2,28.0,5.0,53.2,22.28,30.92
ORD-10058,20230106,P011,CH04,,2,29.0,5.0,55.1,22.77,32.33
ORD-10059,20230106,P002,CH07,,1,34.0,0,34.0,11.24,22.76
ORD-10060,20230106,P009,CH01,,1,120.0,0,120.0,42.51,77.49
ORD-10061,20230106,P011,CH04,,1,29.0,0,29.0,11.91,17.09
ORD-10062,20230106,P014,CH01,,2,18.0,10.0,32.4,10.51,21.89
ORD-10063,20230106,P006,CH05,,2,22.0,0,44.0,17.34,26.66
ORD-10064,20230106,P009,CH05,,2,120.0,0,240.0,99.48,140.52
ORD-10065,20230106,P012,CH07,,1,31.0,10.0,27.9,10.55,17.35
ORD-10066,20230106,P003,CH03,,1,65.0,0,65.0,26.87,38.13
ORD-10067,20230106,P014,CH01,,1,18.0,5.0,17.1,6.61,10.49
ORD-10068,20230107,P014,CH03,,2,18.0,0,36.0,14.87,21.13
ORD-10069,20230107,P014,CH01,,2,18.0,0,36.0,13.0,23.0
ORD-10070,20230107,P003,CH05,,1,65.0,15.0,55.25,22.11,33.14
ORD-10071,20230107,P014,CH05,,1,18.0,0,18.0,7.02,10.98
ORD-10072,20230107,P007,CH06,,3,38.0,0,114.0,45.79,68.21
ORD-10073,20230107,P008,CH02,,2,28.0,15.0,47.6,16.29,31.31
ORD-10074,20230107,P011,CH01,,1,29.0,15.0,24.65,10.27,14.38
ORD-10075,20230107,P005,CH02,,1,26.0,5.0,24.7,9.99,14.71
ORD-10076,20230107,P006,CH07,,1,22.0,20.0,17.6,5.95,11.65
ORD-10077,20230108,P005,CH01,,2,26.0,0,52.0,20.73,31.27
ORD-10078,20230108,P007,CH04,,1,38.0,0,38.0,14.35,23.65
ORD-10079,20230108,P005,CH01,,1,26.0,5.0,24.7,9.9,14.8
ORD-10080,20230108,P011,CH05,,2,29.0,5.0,55.1,19.64,35.46
ORD-10081,20230108,P002,CH07,,3,34.0,5.0,96.9,37.44,59.46
ORD-10082,20230108,P002,CH05,,1,34.0,0,34.0,12.27,21.73
ORD-10083,20230108,P007,CH04,,2,38.0,0,76.0,29.37,46.63
ORD-10084,20230108,P007,CH04,,3,38.0,5.0,108.3,37.92,70.38
ORD-10085,20230108,P009,CH06,,1,120.0,0,120.0,47.83,72.17
ORD-10086,20230108,P010,CH04,,1,55.0,0,55.0,18.78,36.22
ORD-10087,20230108,P008,CH05,,4,28.0,10.0,100.8,38.9,61.9
ORD-10088,20230108,P005,CH03,,2,26.0,0,52.0,20.9,31.1
ORD-10089,20230108,P013,CH01,,1,25.0,10.0,22.5,7.53,14.97
ORD-10090,20230108,P001,CH01,,1,29.0,10.0,26.1,8.54,17.56
ORD-10091,20230108,P007,CH07,,2,38.0,10.0,68.4,24.51,43.89
ORD-10092,20230108,P007,CH01,,2,38.0,0,76.0,30.03,45.97
ORD-10093,20230109,P007,CH01,,2,38.0,5.0,72.2,26.46,45.74
ORD-10094,20230109,P009,CH01,,3,120.0,0,360.0,144.05,215.95
ORD-10095,20230109,P011,CH04,,2,29.0,0,58.0,22.94,35.06
ORD-10096,20230109,P008,CH04,,2,28.0,5.0,53.2,21.44,31.76
ORD-10097,20230109,P009,CH03,,1,120.0,15.0,102.0,37.23,64.77
ORD-10098,20230109,P013,CH01,,2,25.0,10.0,45.0,16.75,28.25
ORD-10099,20230109,P011,CH01,,1,29.0,10.0,26.1,8.96,17.14
ORD-10100,20230109,P006,CH02,,1,22.0,0,22.0,7.55,14.45
ORD-10101,20230109,P012,CH01,,1,31.0,0,31.0,10.95,20.05
ORD-10102,20230109,P008,CH03,,1,28.0,0,28.0,11.49,16.51
ORD-10103,20230109,P010,CH07,,1,55.0,15.0,46.75,17.65,29.1
ORD-10104,20230109,P008,CH01,,1,28.0,10.0,25.2,10.21,14.99
ORD-10105,20230110,P014,CH03,,2,18.0,5.0,34.2,13.01,21.19
ORD-10106,20230110,P004,CH03,,1,35.0,0,35.0,12.56,22.44
ORD-10107,20230110,P011,CH04,,1,29.0,0,29.0,10.64,18.36
ORD-10108,20230110,P003,CH08,,1,65.0,15.0,55.25,20.95,34.3
ORD-10109,20230110,P011,CH01,,2,29.0,0,58.0,21.24,36.76
ORD-10110,20230110,P001,CH02,,1,29.0,0,29.0,10.26,18.74
ORD-10111,20230110,P015,CH02,,2,75.0,10.0,135.0,46.61,88.39
ORD-10112,20230110,P002,CH03,,2,34.0,0,68.0,28.23,39.77
ORD-10113,20230110,P004,CH04,,2,35.0,5.0,66.5,26.3,40.2
ORD-10114,20230110,P004,CH01,,1,35.0,0,35.0,11.64,23.36
ORD-10115,20230111,P004,CH03,,1,35.0,0,35.0,13.32,21.68
ORD-10116,20230111,P012,CH05,,2,31.0,0,62.0,21.77,40.23
ORD-10117,20230111,P010,CH01,,1,55.0,5.0,52.25,21.73,30.52
ORD-10118,20230111,P007,CH07,,1,38.0,5.0,36.1,14.55,21.55
ORD-10119,20230111,P004,CH01,,2,35.0,15.0,59.5,22.61,36.89
ORD-10120,20230111,P002,CH05,,2,34.0,0,68.0,25.38,42.62
ORD-10121,20230111,P011,CH02,,1,29.0,0,29.0,11.74,17.26
ORD-10122,20230111,P014,CH03,,1,18.0,0,18.0,7.36,10.64
ORD-10123,20230111,P008,CH05,,1,28.0,10.0,25.2,10.5,14.7
ORD-10124,20230111,P005,CH04,,3,26.0,10.0,70.2,25.73,44.47
ORD-10125,20230112,P014,CH05,,1,18.0,15.0,15.3,6.17,9.13
ORD-10126,20230112,P002,CH02,,1,34.0,10.0,30.6,11.54,19.06
ORD-10127,20230112,P011,CH02,,1,29.0,15.0,24.65,8.34,16.31
ORD-10128,20230112,P004,CH02,,1,35.0,0,35.0,13.29,21.71
ORD-10129,20230112,P015,CH02,,1,75.0,15.0,63.75,20.95,42.8
ORD-10130,20230112,P012,CH03,,2,31.0,0,62.0,22.79,39.21
ORD-10131,20230112,P012,CH03,,2,31.0,0,62.0,21.21,40.79
ORD-10132,20230112,P012,CH01,,2,31.0,0,62.0,23.27,38.73
ORD-10133,20230113,P009,CH02,,2,120.0,0,240.0,82.83,157.17
ORD-10134,20230113,P002,CH05,,1,34.0,10.0,30.6,12.7,17.9
ORD-10135,20230113,P012,CH01,,1,31.0,0,31.0,12.17,18.83
ORD-10136,20230113,P013,CH04,,1,25.0,0,25.0,8.49,16.51
ORD-10137,20230113,P004,CH02,,1,35.0,10.0,31.5,10.48,21.02
ORD-10138,20230113,P001,CH08,,2,29.0,5.0,55.1,18.33,36.77
ORD-10139,20230114,P014,CH05,,1,18.0,0,18.0,6.27,11.73
ORD-10140,20230114,P008,CH03,,1,28.0,0,28.0,11.59,16.41
ORD-10141,20230114,P008,CH01,,1,28.0,0,28.0,10.58,17.42
ORD-10142,20230114,P011,CH01,,1,29.0,5.0,27.55,9.65,17.9
ORD-10143,20230114,P004,CH01,,2,35.0,5.0,66.5,26.54,39.96
ORD-10144,20230114,P004,CH05,,1,35.0,15.0,29.75,10.4,19.35
ORD-10145,20230114,P010,CH08,,1,55.0,5.0,52.25,19.91,32.34
ORD-10146,20230114,P012,CH01,,2,31.0,5.0,58.9,20.41,38.49
ORD-10147,20230114,P002,CH01,,1,34.0,0,34.0,10.89,23.11
ORD-10148,20230114,P008,CH04,,1,28.0,0,28.0,9.77,18.23
ORD-10149,20230114,P005,CH05,,1,26.0,5.0,24.7,10.19,14.51
ORD-10150,20230114,P013,CH05,,2,25.0,10.0,45.0,15.29,29.71
ORD-10151,20230114,P002,CH04,,2,34.0,15.0,57.8,23.27,34.53
ORD-10152,20230114,P002,CH01,,2,34.0,5.0,64.6,26.0,38.6
ORD-10153,20230114,P015,CH02,,1,75.0,5.0,71.25,27.79,43.46
ORD-10154,20230114,P005,CH03,,1,26.0,0,26.0,8.42,17.58
ORD-10155,20230114,P007,CH05,,2,38.0,0,76.0,26.06,49.94
ORD-10156,20230114,P011,CH06,,2,29.0,20.0,46.4,19.49,26.91
ORD-10157,20230114,P011,CH06,,2,29.0,10.0,52.2,17.62,34.58
ORD-10158,20230114,P009,CH04,,3,120.0,0,360.0,136.27,223.73
ORD-10159,20230114,P011,CH06,,4,29.0,0,116.0,41.86,74.14
ORD-10160,20230114,P006,CH04,,3,22.0,0,66.0,25.7,40.3
ORD-10161,20230115,P014,CH05,,1,18.0,0,18.0,6.21,11.79
ORD-10162,20230115,P002,CH08,,1,34.0,5.0,32.3,13.53,18.77
ORD-10163,20230115,P011,CH06,,1,29.0,0,29.0,10.78,18.22
ORD-10164,20230115,P010,CH05,,2,55.0,10.0,99.0,33.7,65.3
ORD-10165,20230115,P009,CH01,,1,120.0,15.0,102.0,37.58,64.42
ORD-10166,20230115,P001,CH08,,2,29.0,0,58.0,19.48,38.52
ORD-10167,20230115,P009,CH01,,1,120.0,0,120.0,48.5,71.5
ORD-10168,20230115,P002,CH03,,1,34.0,10.0,30.6,11.32,19.28
ORD-10169,20230115,P012,CH02,,2,31.0,0,62.0,22.83,39.17
ORD-10170,20230115,P008,CH01,,2,28.0,0,56.0,23.08,32.92
ORD-10171,20230116,P009,CH05,,1,120.0,0,120.0,47.67,72.33
ORD-10172,20230116,P014,CH03,,3,18.0,5.0,51.3,20.63,30.67
ORD-10173,20230116,P005,CH05,,3,26.0,5.0,74.1,28.6,45.5
ORD-10174,20230116,P014,CH01,,1,18.0,0,18.0,6.75,11.25
ORD-10175,20230116,P009,CH02,,3,120.0,15.0,306.0,127.93,178.07
ORD-10176,20230116,P004,CH04,,1,35.0,10.0,31.5,10.22,21.28
ORD-10177,20230116,P012,CH03,,3,31.0,0,93.0,38.95,54.05
ORD-10178,20230116,P013,CH06,,4,25.0,0,100.0,32.37,67.63
ORD-10179,20230116,P009,CH08,,1,120.0,0,120.0,48.54,71.46
ORD-10180,20230116,P002,CH04,,1,34.0,10.0,30.6,11.05,19.55
ORD-10181,20230116,P011,CH08,,1,29.0,10.0,26.1,9.04,17.06
ORD-10182,20230116,P010,CH04,,2,55.0,15.0,93.5,37.89,55.61
ORD-10183,20230116,P014,CH04,,4,18.0,5.0,68.4,27.96,40.44
ORD-10184,20230116,P008,CH06,,1,28.0,0,28.0,10.73,17.27
ORD-10185,20230116,P015,CH02,,1,75.0,0,75.0,31.34,43.66
ORD-10186,20230116,P013,CH04,,3,25.0,0,75.0,29.21,45.79
ORD-10187,20230116,P015,CH01,,1,75.0,0,75.0,26.69,48.31
ORD-10188,20230116,P007,CH01,,1,38.0,5.0,36.1,14.41,21.69
ORD-10189,20230116,P003,CH01,,2,65.0,0,130.0,50.48,79.52
ORD-10190,20230116,P008,CH07,,1,28.0,0,28.0,9.67,18.33
ORD-10191,20230117,P013,CH03,,1,25.0,5.0,23.75,7.78,15.97
ORD-10192,20230117,P006,CH08,,1,22.0,20.0,17.6,6.85,10.75
ORD-10193,20230117,P008,CH06,,1,28.0,0,28.0,10.31,17.69
ORD-10194,20230117,P004,CH02,,1,35.0,0,35.0,13.65,21.35
ORD-10195,20230117,P001,CH08,,2,29.0,0,58.0,21.84,36.16
ORD-10196,20230117,P011,CH05,,4,29.0,15.0,98.6,38.9,59.7
ORD-10197,20230117,P014,CH07,,1,18.0,10.0,16.2,6.17,10.03
ORD-10198,20230117,P006,CH01,,1,22.0,0,22.0,8.7,13.3
ORD-10199,20230117,P013,CH04,,3,25.0,5.0,71.25,29.24,42.01
ORD-10200,20230117,P011,CH01,,2,29.0,0,58.0,20.68,37.32
ORD-10201,20230117,P003,CH01,,1,65.0,10.0,58.5,19.75,38.75
ORD-10202,20230117,P003,CH05,,3,65.0,0,195.0,72.18,122.82
ORD-10203,20230118,P005,CH06,,1,26.0,10.0,23.4,8.62,14.78
ORD-10204,20230118,P013,CH02,,3,25.0,10.0,67.5,24.76,42.74
ORD-10205,20230118,P002,CH01,,4,34.0,15.0,115.6,45.36,70.24
ORD-10206,20230118,P007,CH08,,2,38.0,0,76.0,30.33,45.67
ORD-10207,20230118,P001,CH02,,1,29.0,0,29.0,11.45,17.55
ORD-10208,20230118,P005,CH04,,2,26.0,15.0,44.2,14.62,29.58
ORD-10209,20230118,P004,CH03,,2,35.0,15.0,59.5,20.99,38.51
ORD-10210,20230118,P010,CH01,,1,55.0,10.0,49.5,20.34,29.16
ORD-10211,20230118,P005,CH04,,1,26.0,0,26.0,8.42,17.58
ORD-10212,20230118,P008,CH01,,1,28.0,5.0,26.6,9.55,17.05
ORD-10213,20230118,P006,CH04,,2,22.0,15.0,37.4,13.54,23.86
ORD-10214,20230118,P012,CH05,,3,31.0,5.0,88.35,35.64,52.71
ORD-10215,20230118,P010,CH03,,4,55.0,0,220.0,78.55,141.45
ORD-10216,20230119,P014,CH02,,4,18.0,0,72.0,29.53,42.47
ORD-10217,20230119,P011,CH02,,1,29.0,0,29.0,9.63,19.37
ORD-10218,20230119,P014,CH06,,1,18.0,0,18.0,6.91,11.09
ORD-10219,20230119,P001,CH01,,1,29.0,20.0,23.2,9.25,13.95
ORD-10220,20230119,P004,CH01,,2,35.0,0,70.0,23.91,46.09
ORD-10221,20230120,P014,CH01,,2,18.0,10.0,32.4,12.3,20.1
ORD-10222,20230120,P005,CH06,,1,26.0,0,26.0,8.97,17.03
ORD-10223,20230120,P003,CH01,,3,65.0,0,195.0,69.39,125.61
ORD-10224,20230120,P013,CH01,,1,25.0,0,25.0,8.13,16.87
ORD-10225,20230120,P012,CH03,,1,31.0,0,31.0,11.31,19.69
ORD-10226,20230120,P006,CH03,,1,22.0,5.0,20.9,8.66,12.24
ORD-10227,20230120,P001,CH05,,3,29.0,5.0,82.65,28.94,53.71
ORD-10228,20230120,P011,CH08,,1,29.0,0,29.0,10.44,18.56
ORD-10229,20230120,P011,CH01,,2,29.0,0,58.0,23.78,34.22
ORD-10230,20230120,P006,CH04,,1,22.0,0,22.0,8.43,13.57
ORD-10231,20230120,P009,CH05,,1,120.0,5.0,114.0,39.84,74.16
ORD-10232,20230120,P009,CH04,,1,120.0,10.0,108.0,43.77,64.23
ORD-10233,20230120,P011,CH06,,2,29.0,15.0,49.3,17.9,31.4
ORD-10234,20230120,P015,CH01,,1,75.0,0,75.0,27.12,47.88
ORD-10235,20230120,P002,CH02,,1,34.0,0,34.0,14.12,19.88
ORD-10236,20230121,P002,CH06,,1,34.0,0,34.0,13.39,20.61
ORD-10237,20230121,P013,CH01,,1,25.0,20.0,20.0,7.52,12.48
ORD-10238,20230121,P011,CH01,,1,29.0,5.0,27.55,10.88,16.67
ORD-10239,20230121,P014,CH07,,1,18.0,0,18.0,6.32,11.68
ORD-10240,20230121,P002,CH04,,1,34.0,5.0,32.3,11.06,21.24
ORD-10241,20230121,P002,CH02,,2,34.0,0,68.0,23.65,44.35
ORD-10242,20230121,P004,CH06,,3,35.0,20.0,84.0,33.75,50.25
ORD-10243,20230121,P010,CH04,,2,55.0,5.0,104.5,40.31,64.19
ORD-10244,20230121,P012,CH02,,1,31.0,10.0,27.9,9.79,18.11
ORD-10245,20230121,P006,CH02,,1,22.0,0,22.0,8.49,13.51
ORD-10246,20230121,P002,CH01,,2,34.0,0,68.0,26.83,41.17
ORD-10247,20230122,P004,CH02,,1,35.0,0,35.0,12.29,22.71
ORD-10248,20230122,P006,CH05,,2,22.0,0,44.0,14.31,29.69
ORD-10249,20230122,P003,CH05,,1,65.0,0,65.0,23.68,41.32
ORD-10250,20230122,P007,CH03,,1,38.0,0,38.0,15.03,22.97
ORD-10251,20230122,P002,CH02,,1,34.0,5.0,32.3,12.25,20.05
ORD-10252,20230122,P009,CH04,,1,120.0,0,120.0,45.59,74.41
ORD-10253,20230122,P001,CH01,,3,29.0,10.0,78.3,31.04,47.26
ORD-10254,20230122,P005,CH02,,1,26.0,10.0,23.4,7.9,15.5
ORD-10255,20230123,P009,CH04,,2,120.0,0,240.0,86.33,153.67
ORD-10256,20230123,P012,CH01,,1,31.0,15.0,26.35,10.7,15.65
ORD-10257,20230123,P010,CH03,,1,55.0,5.0,52.25,18.23,34.02
ORD-10258,20230123,P007,CH01,,1,38.0,10.0,34.2,13.06,21.14
ORD-10259,20230123,P014,CH04,,1,18.0,0,18.0,5.95,12.05
ORD-10260,20230123,P007,CH04,,1,38.0,0,38.0,13.34,24.66
ORD-10261,20230123,P006,CH01,,2,22.0,0,44.0,16.87,27.13
ORD-10262,20230123,P009,CH03,,3,120.0,0,360.0,141.39,218.61
ORD-10263,20230124,P014,CH04,,1,18.0,0,18.0,6.22,11.78
ORD-10264,20230124,P003,CH04,,2,65.0,5.0,123.5,41.71,81.79
ORD-10265,20230124,P013,CH04,,1,25.0,5.0,23.75,8.98,14.77
ORD-10266,20230124,P011,CH07,,2,29.0,5.0,55.1,21.07,34.03
ORD-10267,20230124,P014,CH08,,1,18.0,0,18.0,6.6,11.4
ORD-10268,20230124,P011,CH02,,1,29.0,0,29.0,10.75,18.25
ORD-10269,20230124,P005,CH03,,1,26.0,0,26.0,9.07,16.93
ORD-10270,20230124,P011,CH06,,3,29.0,5.0,82.65,30.64,52.01
ORD-10271,20230124,P008,CH04,,4,28.0,10.0,100.8,32.67,68.13
ORD-10272,20230124,P015,CH06,,2,75.0,0,150.0,55.13,94.87
ORD-10273,20230124,P003,CH08,,1,65.0,10.0,58.5,23.62,34.88
ORD-10274,20230124,P012,CH01,,2,31.0,0,62.0,24.23,37.77
ORD-10275,20230124,P008,CH04,,2,28.0,0,56.0,23.06,32.94
ORD-10276,20230124,P007,CH03,,1,38.0,5.0,36.1,14.4,21.7
ORD-10277,20230124,P011,CH02,,1,29.0,5.0,27.55,9.88,17.67
ORD-10278,20230124,P005,CH05,,2,26.0,15.0,44.2,18.0,26.2
ORD-10279,20230125,P003,CH07,,1,65.0,5.0,61.75,23.85,37.9
ORD-10280,20230125,P003,CH04,,3,65.0,0,195.0,69.75,125.25
ORD-10281,20230125,P013,CH02,,1,25.0,10.0,22.5,9.33,13.17
ORD-10282,20230125,P011,CH07,,1,29.0,5.0,27.55,10.22,17.33
ORD-10283,20230125,P001,CH02,,1,29.0,0,29.0,12.03,16.97
ORD-10284,20230125,P008,CH01,,4,28.0,0,112.0,39.15,72.85
ORD-10285,20230125,P013,CH01,,2,25.0,10.0,45.0,18.38,26.62
ORD-10286,20230125,P001,CH04,,3,29.0,5.0,82.65,31.38,51.27
ORD-10287,20230125,P003,CH01,,3,65.0,10.0,175.5,70.36,105.14
ORD-10288,20230125,P003,CH05,,1,65.0,0,65.0,25.48,39.52
ORD-10289,20230126,P008,CH04,,2,28.0,10.0,50.4,17.31,33.09
ORD-10290,20230126,P004,CH02,,2,35.0,0,70.0,28.25,41.75
ORD-10291,20230126,P006,CH04,,2,22.0,0,44.0,17.47,26.53
ORD-10292,20230126,P013,CH02,,1,25.0,20.0,20.0,8.03,11.97
ORD-10293,20230126,P013,CH04,,3,25.0,0,75.0,27.6,47.4
ORD-10294,20230126,P006,CH04,,1,22.0,10.0,19.8,8.02,11.78
ORD-10295,20230126,P005,CH01,,1,26.0,0,26.0,9.65,16.35
ORD-10296,20230126,P014,CH03,,3,18.0,0,54.0,19.72,34.28
ORD-10297,20230126,P006,CH07,,1,22.0,0,22.0,7.86,14.14
ORD-10298,20230126,P007,CH08,,1,38.0,0,38.0,15.7,22.3
ORD-10299,20230126,P014,CH05,,1,18.0,0,18.0,5.83,12.17
ORD-10300,20230126,P015,CH06,,2,75.0,0,150.0,58.58,91.42
ORD-10301,20230126,P008,CH04,,3,28.0,0,84.0,28.69,55.31
ORD-10302,20230126,P003,CH04,,2,65.0,5.0,123.5,40.89,82.61
ORD-10303,20230126,P005,CH01,,1,26.0,0,26.0,9.98,16.02
ORD-10304,20230126,P010,CH03,,1,55.0,15.0,46.75,17.75,29.0
ORD-10305,20230127,P004,CH05,,1,35.0,0,35.0,12.43,22.57
ORD-10306,20230127,P010,CH03,,2,55.0,0,110.0,45.92,64.08
ORD-10307,20230127,P002,CH08,,1,34.0,10.0,30.6,11.35,19.25
ORD-10308,20230127,P001,CH02,,1,29.0,5.0,27.55,11.52,16.03
ORD-10309,20230127,P005,CH05,,1,26.0,0,26.0,8.95,17.05
ORD-10310,20230127,P011,CH04,,2,29.0,10.0,52.2,18.44,33.76
ORD-10311,20230127,P001,CH02,,1,29.0,5.0,27.55,11.1,16.45
ORD-10312,20230127,P011,CH03,,2,29.0,5.0,55.1,22.1,33.0
ORD-10313,20230127,P002,CH05,,3,34.0,0,102.0,34.7,67.3
ORD-10314,20230127,P013,CH01,,1,25.0,15.0,21.25,7.9,13.35
ORD-10315,20230127,P014,CH04,,1,18.0,10.0,16.2,5.49,10.71
ORD-10316,20230127,P006,CH06,,1,22.0,5.0,20.9,7.26,13.64
ORD-10317,20230127,P013,CH02,,3,25.0,10.0,67.5,27.64,39.86
ORD-10318,20230127,P007,CH02,,1,38.0,5.0,36.1,12.88,23.22
ORD-10319,20230127,P013,CH03,,2,25.0,10.0,45.0,14.76,30.24
ORD-10320,20230127,P010,CH08,,1,55.0,0,55.0,18.16,36.84
ORD-10321,20230128,P006,CH04,,1,22.0,5.0,20.9,7.58,13.32
ORD-10322,20230128,P012,CH03,,1,31.0,10.0,27.9,11.47,16.43
ORD-10323,20230128,P010,CH08,,1,55.0,20.0,44.0,18.25,25.75
ORD-10324,20230128,P002,CH04,,1,34.0,5.0,32.3,12.76,19.54
ORD-10325,20230128,P003,CH08,,1,65.0,5.0,61.75,24.58,37.17
ORD-10326,20230128,P001,CH01,,1,29.0,5.0,27.55,9.81,17.74
ORD-10327,20230128,P010,CH01,,1,55.0,0,55.0,19.64,35.36
ORD-10328,20230128,P008,CH05,,2,28.0,5.0,53.2,19.14,34.06
ORD-10329,20230128,P011,CH02,,4,29.0,0,116.0,39.28,76.72
ORD-10330,20230128,P009,CH02,,2,120.0,0,240.0,83.05,156.95
ORD-10331,20230128,P008,CH01,,2,28.0,5.0,53.2,22.34,30.86
ORD-10332,20230128,P004,CH01,,3,35.0,0,105.0,43.04,61.96
ORD-10333,20230128,P008,CH08,,2,28.0,20.0,44.8,18.76,26.04
ORD-10334,20230129,P009,CH04,,3,120.0,15.0,306.0,119.7,186.3
ORD-10335,20230129,P015,CH05,,1,75.0,0,75.0,25.68,49.32
ORD-10336,20230129,P004,CH05,,1,35.0,0,35.0,12.46,22.54
ORD-10337,20230129,P010,CH02,,2,55.0,5.0,104.5,39.83,64.67
ORD-10338,20230129,P002,CH01,,1,34.0,10.0,30.6,11.26,19.34
ORD-10339,20230129,P007,CH05,,2,38.0,0,76.0,31.71,44.29
ORD-10340,20230129,P011,CH01,,1,29.0,5.0,27.55,9.17,18.38
ORD-10341,20230129,P014,CH05,,2,18.0,0,36.0,15.0,21.0
ORD-10342,20230129,P007,CH03,,3,38.0,10.0,102.6,38.15,64.45
ORD-10343,20230130,P005,CH01,,1,26.0,10.0,23.4,8.3,15.1
ORD-10344,20230130,P009,CH07,,3,120.0,0,360.0,138.06,221.94
ORD-10345,20230130,P009,CH02,,2,120.0,5.0,228.0,75.09,152.91
